	mean_chao1
ERR1513799	253.08541025641026
ERR1513801	251.59137868710235
ERR1513832	310.46267032967035
ERR1513842	273.70723360124447
ERR1513837	171.42619047619047
ERR1513827	184.6052380952381
ERR1513833	170.45150928792572
ERR1513844	251.1015064935065
ERR1513841	197.57536667756347
ERR1513847	263.4516455026455
ERR1513828	249.89289473684207
ERR1513846	226.94435321039168
ERR1513845	233.0307137307137
ERR1513830	171.6253369818587
ERR1513851	261.4325038621509
ERR1513824	116.34238095238095
ERR1513840	127.0181623931624
ERR1513836	160.769227994228
ERR1513834	198.8995475113122
ERR1513843	148.51359649122807
ERR1513850	222.01899288451014
ERR1513856	245.92863247863247
ERR1513853	287.7654287439613
ERR1513869	254.96946386946388
ERR1513859	270.8258552453239
ERR1513855	273.41235013262593
ERR1513860	167.06666666666666
ERR1513861	237.8708478209097
ERR1513858	185.1577380952381
ERR1513865	156.17169732441474
ERR1513881	149.77156223893067
ERR1513879	130.65155067155067
ERR1513874	218.85944444444445
ERR1513863	205.15500000000003
ERR1513857	229.0994927932859
ERR1513862	258.0988341458169
ERR1513872	238.1347324075519
ERR1513854	153.50044073573486
ERR1513877	144.75641025641025
ERR1513880	124.85824175824177
